Context,Mol_L,Frag_L,Mol_R,Frag_R
[*]C(=O)N(C)[C@H]1CCc2cc(CN(C)C)ccc2C1,CN(C)Cc1ccc2c(c1)CC[C@H](N(C)C(=O)c1ccc(-c3ccc(F)cc3)cc1)C2,NC(=O)c1ccc(-c2ccc(F)cc2)cc1,CN(C)Cc1ccc2c(c1)CC[C@H](N(C)C(=O)c1ccc(-c3ccc(Cl)cc3)cn1)C2,NC(=O)c1ccc(-c2ccc(Cl)cc2)cn1
[*]CN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,CC(C)(C)OCCN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,CN(C)CCOC(C)(C)C,CC(C)(C)C(O)CN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,CN(C)CC(O)C(C)(C)C
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,Cc1cc(-c2nc(-c3ccc4cc(CCN5CCC[C@H]5C)ccc4n3)cs2)no1,ccc(nc)-c1csc(-c2cc(C)on2)n1,C[C@@H]1CCCN1CCc1ccc2nc(C(C)(C)C)ccc2c1,ccc(nc)C(C)(C)C
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)sc2ncnn12,ccc(nc)-c1sc2ncnn2c1C,C[C@@H]1CCCN1CCc1ccc2nc(C3CC3)ccc2c1,ccc(nc)C1CC1
[*]C(=O)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21,Cc1ccc(C(=O)NC2CCc3ccc(CCN4CCN(c5nsc6ccccc65)CC4)cc32)cc1,CNC(=O)c1ccc(C)cc1,O=C(NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21)C1CC1,CNC(=O)C1CC1
[*]C(=O)NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,O=C(COc1cccc(Cl)c1)NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,CNC(=O)COc1cccc(Cl)c1,O=C(NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CCCC(CO)C1,CNC(=O)N1CCCC(CO)C1
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3cccs3)ccc2c1,cc(n)-c1cccs1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1C,cc(n)-c1cnn(C)c1C
[*]c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(OC(F)(F)F)cc54)CC3)nc2N1,ccc(cc)OC(F)(F)F,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc([N+](=O)[O-])cc54)CC3)nc2N1,ccc(cc)[N+](=O)[O-]
[*]C[C@H](O)COc1ccc(NS(C)(=O)=O)cc1,CS(=O)(=O)Nc1ccc(OC[C@@H](O)CNCCc2ccc(Cl)c(F)c2)cc1,cc(Cl)c(F)ccCCNCC(C)O,CCCCN(CCc1ccc(Cl)c(Cl)c1)C[C@H](O)COc1ccc(NS(C)(=O)=O)cc1,cc(Cl)c(Cl)ccCCN(CCCC)CC(C)O
[*]c1ccc(N2C(=O)N(c3cc(OC)ncn3)C3(CCN(Cc4ncccc4C)CC3)C2=O)cc1,COc1cc(N2C(=O)N(c3ccc(-c4ccc5nc[nH]c5c4)cc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1,c1nc2ccccc2[nH]1,COc1cc(N2C(=O)N(c3ccc(-c4ccc(C(=O)O)c(C)c4)cc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1,Cc1ccccc1C(=O)O
[*]C=Cc1ccc(-n2cnc(C)c2)c(OC)c1,COc1cc(/C=C/c2nc(N)c3ccccc3n2)ccc1-n1cnc(C)c1,Nc1ncnc2ccccc12,COc1cc(/C=C/c2nc3sc4c(c3c(=O)[nH]2)CCC4)ccc1-n1cnc(C)c1,O=c1[nH]cnc2sc3c(c21)CCC3
[*]c1cc(Oc2ccc(F)cc2CNC)ccc1Cl,CNCc1cc(F)ccc1Oc1ccc(Cl)c(F)c1,ccc(F)c(c)Cl,CCc1cc(Oc2ccc(F)cc2CNC)ccc1Cl,ccc(CC)c(c)Cl
[*]CCCN1C[C@H](CC(=O)Nc2cccc(Cl)c2)[C@@H](c2ccc(OC)cc2)C1,COc1ccc([C@H]2CN(CCCN(C)S(C)(=O)=O)C[C@@H]2CC(=O)Nc2cccc(Cl)c2)cc1,CCCN(C)S(C)(=O)=O,COc1ccc([C@H]2CN(CCCN3CCCC3=O)C[C@@H]2CC(=O)Nc2cccc(Cl)c2)cc1,CCCN1CCCC1=O
[*]c1ccc(OCCCN2CCCC2)cc1,C[C@H]1[C@H](c2ccc(OCCCN3CCCC3)cc2)Oc2ccccc2S1(=O)=O,ccc(cc)C1Oc2ccccc2S(=O)(=O)C1C,Cc1nc2ccccc2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1,ccc(cc)-n1c(C)nc2ccccc2c1=O
[*]NC(=O)CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,CCCCC(NC(=O)CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)c1ccc(OC)nc1,CCCCC(NC)c1ccc(OC)nc1,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccccc1)c1ccccn1,CNC(c1ccccc1)c1ccccn1
[*]C1COCC[C@@H]1N[C@@H]1CC[C@@](C(=O)N2CCN(c3cc(C(F)(F)F)ccn3)CC2)(C(C)C)C1,CC(C)[C@]1(C(=O)N2CCN(c3cc(C(F)(F)F)ccn3)CC2)CC[C@@H](N[C@H]2CCOC[C@H]2O)C1,[CH]NC1CCOCC1O,CCC1COCC[C@@H]1N[C@@H]1CC[C@@](C(=O)N2CCN(c3cc(C(F)(F)F)ccn3)CC2)(C(C)C)C1,[CH]NC1CCOCC1CC
[*]C(c1ccccc1)N1CCNCC1,CCOc1ccccc1C[C@H](c1ccccc1)N1CCNCC1,ccc(cc)C(Cc(c)c(c)OCC)N(CC)CC,FC(F)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,ccc(cc)C(Cc(c)c(c)OC(F)F)N(CC)CC
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,Cc1nc(N2CCOCC2)sc1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,cc(n)-c1sc(N2CCOCC2)nc1C,Cc1nc2ncccc2cc1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,cc(n)-c1cc2cccnc2nc1C
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3nccs3)ccc2c1,cc(n)-c1nccs1,Cc1nc(N2CCCC2)ncc1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,cc(n)-c1cnc(N2CCCC2)nc1C
[*]c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,O=C1NCCN1CCN1CC=C(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,cc1cncc1C1=CCN(CCN2CCNC2=O)CC1,CCC(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,cc1cncc1C(CC)CC
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc4nccnc4c3)ccc2c1,c-c1ccc2nccnc2c1,C[C@@H]1CCCN1CCc1ccc2nc(-c3cnc4c(c3)OCO4)ccc2c1,c-c1cnc2c(c1)OCO2
[*]COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCOC)c1,COCCOc,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC2(CC#N)CC2)c1,cOCC1(CC#N)CC1
[*]C1CCN(CCCNc2nnc(-c3ccc(NC(=O)c4ccccc4F)cc3)o2)CC1,O=C(Nc1ccc(-c2nnc(NCCCN3CCCCC3)o2)cc1)c1ccccc1F,C1CCNCC1,O=C(Nc1ccc(-c2nnc(NCCCN3CCC(F)CC3)o2)cc1)c1ccccc1F,FC1CCNCC1
