Context,Mol_L,Frag_L,Mol_R,Frag_R,Radius
[*]C(C)C(=O)N1CCN(c2ccc(Nc3ncc(Cl)c(-c4cnc5ccccn54)n3)c(OC)c2)CC1,COc1cc(N2CCN(C(=O)[C@@H](C)N)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn32)n1,[CH3][CH2][N]([CH2][CH3])[C](=[O])[C]([CH3])[NH2],COc1cc(N2CCN(C(=O)[C@H](C)O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn32)n1,[CH3][CH2][N]([CH2][CH3])[C](=[O])[C]([CH3])[OH],4
[*]C(C)C(=O)N1CCN(c2ccc(Nc3ncc(Cl)c(-c4cnc5ccccn54)n3)c(OC)c2)CC1,COc1cc(N2CCN(C(=O)[C@@H](C)N)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn32)n1,[CH3][C]([NH2])[C](=[O])[N]([CH3])[CH3],COc1cc(N2CCN(C(=O)[C@H](C)O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn32)n1,[CH3][C]([OH])[C](=[O])[N]([CH3])[CH3],3
[*]C(C)C(=O)N1CCN(c2ccc(Nc3ncc(Cl)c(-c4cnc5ccccn54)n3)c(OC)c2)CC1,COc1cc(N2CCN(C(=O)[C@@H](C)N)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn32)n1,[CH3][C]([NH2])[C]([NH2])=[O],COc1cc(N2CCN(C(=O)[C@H](C)O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn32)n1,[CH3][C]([OH])[C]([NH2])=[O],2
[*]C(C)C(=O)N1CCN(c2ccc(Nc3ncc(Cl)c(-c4cnc5ccccn54)n3)c(OC)c2)CC1,COc1cc(N2CCN(C(=O)[C@@H](C)N)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn32)n1,[CH3][C]([CH3])[NH2],COc1cc(N2CCN(C(=O)[C@H](C)O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn32)n1,[CH3][C]([CH3])[OH],1
[*]O[C@H]1C[C@H]2CC[C@@H](C1)N2Cc1ccccc1,NC(=O)c1cncc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)n1,[CH3][C]([CH3])[O][c]1[cH][n][cH][c]([C]([NH2])=[O])[n]1,Cc1cc(C(N)=O)ccc1O[C@H]1C[C@H]2CC[C@@H](C1)N2Cc1ccccc1,[CH3][C]([CH3])[O][c]1[cH][cH][c]([C]([NH2])=[O])[cH][c]1[CH3],4
[*]O[C@H]1C[C@H]2CC[C@@H](C1)N2Cc1ccccc1,NC(=O)c1cncc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)n1,[C][O][c]1[cH][n][cH][c]([C]([NH2])=[O])[n]1,Cc1cc(C(N)=O)ccc1O[C@H]1C[C@H]2CC[C@@H](C1)N2Cc1ccccc1,[C][O][c]1[cH][cH][c]([C]([NH2])=[O])[cH][c]1[CH3],3
[*]O[C@H]1C[C@H]2CC[C@@H](C1)N2Cc1ccccc1,NC(=O)c1cncc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)n1,[NH2][C](=[O])[c]1[cH][n][cH][c]([OH])[n]1,Cc1cc(C(N)=O)ccc1O[C@H]1C[C@H]2CC[C@@H](C1)N2Cc1ccccc1,[CH3][c]1[cH][c]([C]([NH2])=[O])[cH][cH][c]1[OH],2
[*]O[C@H]1C[C@H]2CC[C@@H](C1)N2Cc1ccccc1,NC(=O)c1cncc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)n1,[NH2][C](=[O])[c]1[cH][n][cH][cH][n]1,Cc1cc(C(N)=O)ccc1O[C@H]1C[C@H]2CC[C@@H](C1)N2Cc1ccccc1,[CH3][c]1[cH][cH][cH][c]([C]([NH2])=[O])[cH]1,1
[*]CCN1Cc2ccc(/C=C/C(=O)NO)cc2C1,O=C(/C=C/c1ccc2c(c1)CN(CCc1cnn3ccccc13)C2)NO,[NH2][CH2][CH2][c]1[cH][n][n]2[cH][cH][cH][cH][c]12,Cc1[nH]c2ccccc2c1CCN1Cc2ccc(/C=C/C(=O)NO)cc2C1,[H][n]1[c]([CH3])[c]([CH2][CH2][NH2])[c]2[cH][cH][cH][cH][c]21,4
[*]CCN1Cc2ccc(/C=C/C(=O)NO)cc2C1,O=C(/C=C/c1ccc2c(c1)CN(CCc1cnn3ccccc13)C2)NO,[CH3][CH2][c]1[cH][n][n]2[cH][cH][cH][cH][c]12,Cc1[nH]c2ccccc2c1CCN1Cc2ccc(/C=C/C(=O)NO)cc2C1,[H][n]1[c]([CH3])[c]([CH2][CH3])[c]2[cH][cH][cH][cH][c]21,3
